# PNIPAM (poly(N-isopropylacrylamide)) brush, hydrated/swollen state
# Tabulated n,k measured by spectroscopic ellipsometry
# Source: refnx/refellips (github.com/refnx/refellips), materials/pnipam.csv, MIT-licensed
# Real measured optical constants -- not a fitted analytic model
wavelength_nm,n,k
339.9770,1.536536,0.004926
341.5760,1.535983,0.004887
343.1760,1.535440,0.004848
344.7750,1.534908,0.00481
346.3740,1.534384,0.004773
347.9740,1.533871,0.004737
349.5730,1.533366,0.004701
351.1720,1.532870,0.004665
352.7710,1.532383,0.004631
354.3700,1.531904,0.004596
355.9690,1.531434,0.004563
357.5680,1.530972,0.00453
359.1680,1.530517,0.004497
360.7670,1.530071,0.004465
362.3650,1.529632,0.004434
363.9640,1.529200,0.004403
365.5630,1.528776,0.004372
367.1620,1.528359,0.004342
368.7610,1.527949,0.004312
370.3600,1.527545,0.004283
371.9580,1.527148,0.004254
373.5570,1.526758,0.004226
375.1560,1.526374,0.004198
376.7540,1.525996,0.004171
378.3530,1.525624,0.004144
379.9520,1.525259,0.004117
381.5500,1.524899,0.004091
383.1480,1.524544,0.004065
384.7470,1.524196,0.00404
386.3450,1.523852,0.004015
387.9440,1.523514,0.00399
389.5420,1.523182,0.003966
391.1400,1.522854,0.003941
392.7380,1.522532,0.003918
394.3360,1.522214,0.003894
395.9350,1.521901,0.003871
397.5330,1.521593,0.003849
399.1310,1.521290,0.003826
400.7290,1.520991,0.003804
402.3260,1.520697,0.003782
403.9240,1.520407,0.003761
405.5220,1.520121,0.00374
407.1200,1.519840,0.003719
408.7180,1.519562,0.003698
410.3150,1.519289,0.003678
411.9130,1.519019,0.003658
413.5100,1.518754,0.003638
415.1080,1.518492,0.003618
416.7050,1.518234,0.003599
418.3030,1.517980,0.00358
419.9000,1.517729,0.003561
421.4970,1.517482,0.003543
423.0950,1.517238,0.003524
424.6920,1.516997,0.003506
426.2890,1.516760,0.003488
427.8860,1.516526,0.003471
429.4830,1.516296,0.003453
431.0800,1.516068,0.003436
432.6770,1.515844,0.003419
434.2740,1.515623,0.003402
435.8700,1.515405,0.003386
437.4670,1.515189,0.003369
439.0640,1.514977,0.003353
440.6600,1.514767,0.003337
442.2570,1.514560,0.003321
443.8530,1.514356,0.003306
445.4500,1.514155,0.00329
447.0460,1.513956,0.003275
448.6420,1.513759,0.00326
450.2380,1.513566,0.003245
451.8340,1.513374,0.00323
453.4310,1.513186,0.003216
455.0270,1.512999,0.003201
456.6220,1.512815,0.003187
458.2180,1.512634,0.003173
459.8140,1.512454,0.003159
461.4100,1.512277,0.003145
463.0060,1.512102,0.003132
464.6010,1.511930,0.003118
466.1970,1.511759,0.003105
467.7920,1.511591,0.003092
469.3880,1.511424,0.003079
470.9830,1.511260,0.003066
472.5780,1.511098,0.003053
474.1730,1.510937,0.003041
475.7680,1.510779,0.003028
477.3630,1.510622,0.003016
478.9580,1.510468,0.003004
480.5530,1.510315,0.002992
482.1480,1.510164,0.00298
483.7430,1.510015,0.002968
485.3370,1.509867,0.002957
486.9320,1.509722,0.002945
488.5260,1.509578,0.002934
490.1210,1.509435,0.002922
491.7150,1.509295,0.002911
493.3090,1.509156,0.0029
494.9040,1.509018,0.002889
496.4980,1.508882,0.002878
498.0920,1.508748,0.002868
499.6860,1.508615,0.002857
501.2790,1.508484,0.002846
502.8730,1.508354,0.002836
504.4670,1.508226,0.002826
506.0610,1.508099,0.002815
507.6540,1.507974,0.002805
509.2480,1.507850,0.002795
510.8410,1.507727,0.002785
512.4340,1.507606,0.002776
514.0270,1.507486,0.002766
515.6200,1.507367,0.002756
517.2140,1.507250,0.002747
518.8060,1.507134,0.002737
520.3990,1.507019,0.002728
521.9920,1.506905,0.002719
523.5850,1.506793,0.00271
525.1770,1.506682,0.002701
526.7700,1.506572,0.002692
528.3620,1.506463,0.002683
529.9540,1.506355,0.002674
531.5470,1.506249,0.002665
533.1390,1.506143,0.002656
534.7310,1.506039,0.002648
536.3230,1.505936,0.002639
537.9150,1.505834,0.002631
539.5060,1.505733,0.002623
541.0980,1.505633,0.002614
542.6900,1.505534,0.002606
544.2810,1.505436,0.002598
545.8720,1.505339,0.00259
547.4640,1.505243,0.002582
549.0550,1.505148,0.002574
550.6460,1.505054,0.002566
552.2370,1.504961,0.002558
553.8280,1.504868,0.002551
555.4190,1.504777,0.002543
557.0090,1.504687,0.002536
558.6000,1.504597,0.002528
560.1900,1.504509,0.002521
561.7810,1.504421,0.002513
563.3710,1.504334,0.002506
564.9610,1.504248,0.002499
566.5510,1.504163,0.002491
568.1410,1.504079,0.002484
569.7310,1.503996,0.002477
571.3210,1.503913,0.00247
572.9100,1.503831,0.002463
574.5000,1.503750,0.002456
576.0890,1.503670,0.00245
577.6790,1.503590,0.002443
579.2680,1.503511,0.002436
580.8570,1.503433,0.00243
582.4460,1.503356,0.002423
584.0350,1.503279,0.002416
585.6240,1.503204,0.00241
587.2120,1.503129,0.002403
588.8010,1.503054,0.002397
590.3890,1.502980,0.002391
591.9780,1.502907,0.002384
593.5660,1.502835,0.002378
595.1540,1.502763,0.002372
596.7420,1.502692,0.002366
598.3300,1.502622,0.00236
599.9180,1.502552,0.002354
601.5050,1.502483,0.002348
603.0930,1.502414,0.002342
604.6810,1.502347,0.002336
606.2680,1.502279,0.00233
607.8550,1.502213,0.002324
609.4420,1.502147,0.002318
611.0290,1.502081,0.002313
612.6160,1.502016,0.002307
614.2030,1.501952,0.002301
615.7890,1.501888,0.002296
617.3760,1.501825,0.00229
618.9620,1.501762,0.002285
620.5480,1.501700,0.002279
622.1350,1.501639,0.002274
623.7210,1.501578,0.002269
625.3060,1.501517,0.002263
626.8920,1.501457,0.002258
628.4780,1.501398,0.002253
630.0630,1.501339,0.002247
631.6490,1.501281,0.002242
633.2340,1.501223,0.002237
634.8190,1.501165,0.002232
