# Silicon optical constants (intrinsic, 300 K)
# M. A. Green, Sol. Energ. Mat. Sol. Cells 92, 1305-1310 (2008)
# Retrieved from refractiveindex.info database (CC0 1.0, public domain)
wavelength_nm,n,k
250.0,1.665,3.665
260.0,1.757,4.084
270.0,2.068,4.68
280.0,2.959,5.287
290.0,4.356,5.286
300.0,4.976,4.234
310.0,5.121,3.598
320.0,5.112,3.303
330.0,5.195,3.1
340.0,5.301,2.977
350.0,5.494,2.938
360.0,6.026,2.966
370.0,6.891,2.171
380.0,6.616,0.946
390.0,6.039,0.445
400.0,5.613,0.296
410.0,5.33,0.227
420.0,5.119,0.176
430.0,4.949,0.138
440.0,4.812,0.107
450.0,4.691,0.086302
460.0,4.587,0.071381
470.0,4.497,0.062086
480.0,4.419,0.055004
490.0,4.35,0.049131
500.0,4.294,0.044165
510.0,4.241,0.039367
520.0,4.193,0.036415
530.0,4.151,0.033108
540.0,4.112,0.030295
550.0,4.077,0.027968
560.0,4.045,0.025758
570.0,4.015,0.024131
580.0,3.988,0.022524
590.0,3.963,0.021081
600.0,3.94,0.019934
610.0,3.918,0.018446
620.0,3.898,0.017367
630.0,3.879,0.016444
640.0,3.861,0.015432
650.0,3.844,0.014431
660.0,3.828,0.013498
670.0,3.813,0.012743
680.0,3.798,0.011905
690.0,3.784,0.011201
700.0,3.772,0.010528
710.0,3.759,0.010057
720.0,3.748,0.0096257
730.0,3.737,0.0089461
740.0,3.727,0.008362
750.0,3.717,0.0078185
760.0,3.708,0.007197
770.0,3.699,0.0067402
780.0,3.691,0.0063933
790.0,3.683,0.005834
800.0,3.675,0.0054113
810.0,3.668,0.0049955
820.0,3.661,0.0046134
830.0,3.654,0.0042734
840.0,3.647,0.0039439
850.0,3.641,0.003612
860.0,3.635,0.0032781
870.0,3.63,0.0029839
880.0,3.624,0.0026821
890.0,3.619,0.0024293
900.0,3.614,0.0021701
910.0,3.609,0.0019625
920.0,3.604,0.0017571
930.0,3.6,0.0015467
940.0,3.595,0.0013689
950.0,3.591,0.0011793
960.0,3.587,0.0010237
970.0,3.583,0.00087225
980.0,3.579,0.00074866
990.0,3.575,0.00062238
1000.0,3.572,0.0005093
1010.0,3.568,0.00041071
1020.0,3.565,0.00032386
1030.0,3.562,0.00024753
1040.0,3.559,0.00018704
1050.0,3.556,0.0001362
1060.0,3.553,9.3631e-05
1070.0,3.55,6.8118e-05
1080.0,3.547,5.3285e-05
1090.0,3.545,4.0768e-05
1100.0,3.542,3.0637e-05
