# Water, room temperature, tabulated complex refractive index
# Source: refnx/refellips (github.com/refnx/refellips), materials/water.csv, MIT-licensed
wavelength_nm,n,k
350.0000,1.343000,6.5e-09
375.0000,1.341000,3.5e-09
400.0000,1.339000,1.86e-09
425.0000,1.338000,1.3e-09
450.0000,1.337000,1.02e-09
475.0000,1.336000,9.35e-10
500.0000,1.335000,1e-09
525.0000,1.334000,1.32e-09
550.0000,1.333000,1.96e-09
575.0000,1.333000,3.6e-09
600.0000,1.332000,1.09e-08
625.0000,1.332000,1.39e-08
650.0000,1.331000,1.64e-08
675.0000,1.331000,2.23e-08
700.0000,1.331000,3.35e-08
725.0000,1.330000,9.15e-08
750.0000,1.330000,1.56e-07
775.0000,1.330000,1.48e-07
800.0000,1.329000,1.25e-07
825.0000,1.329000,1.82e-07
850.0000,1.329000,2.93e-07
875.0000,1.328000,3.91e-07
900.0000,1.328000,4.86e-07
